sku,name,category,brand,list_price_vnd,stock,n_variants,attributes
SKU-AP-X,Máy lọc không khí AirPure X,gia-dung/may-loc-khong-khi,AirPure,4890000,40,0,"{""room_area_m2"": 25, ""features"": ""HEPA H13, cảm biến PM2.5, chế độ ngủ"", ""warranty_months"": 24, ""child_safe_lock"": false}"
SKU-AP-Y,Máy lọc không khí AirPure Y,gia-dung/may-loc-khong-khi,AirPure,5200000,15,0,"{""room_area_m2"": 30, ""features"": ""HEPA H13 + than hoạt tính, app điều khiển"", ""warranty_months"": 24, ""child_safe_lock"": true}"
SKU-AP-MINI,Máy lọc không khí AirPure Mini,gia-dung/may-loc-khong-khi,AirPure,2190000,8,0,"{""room_area_m2"": 12, ""features"": ""HEPA H11, để bàn"", ""warranty_months"": 24, ""child_safe_lock"": false}"
SKU-AP-PRO,Máy lọc không khí AirPure Pro,gia-dung/may-loc-khong-khi,AirPure,7990000,5,0,"{""room_area_m2"": 45, ""features"": ""HEPA H13, UV, diệt khuẩn"", ""warranty_months"": 24, ""child_safe_lock"": true}"
SKU-XM-4L,Máy lọc không khí Xiaomi Smart 4 Lite,gia-dung/may-loc-khong-khi,Xiaomi,2990000,12,0,"{""room_area_m2"": 43, ""features"": ""HEPA, app Mi Home"", ""warranty_months"": 24, ""child_safe_lock"": false}"
SKU-XM-4P,Máy lọc không khí Xiaomi Smart 4 Pro,gia-dung/may-loc-khong-khi,Xiaomi,5490000,0,0,"{""room_area_m2"": 60, ""features"": ""HEPA, màn OLED, app Mi Home"", ""warranty_months"": 24, ""child_safe_lock"": false}"
SKU-SS-AX40,Máy lọc không khí Samsung AX40,gia-dung/may-loc-khong-khi,Samsung,6490000,40,0,"{""room_area_m2"": 40, ""features"": ""HEPA, lọc khử mùi, cảm biến bụi"", ""warranty_months"": 24, ""child_safe_lock"": true}"
SKU-WF-RO9,Máy lọc nước RO Karofi 9 lõi,gia-dung/may-loc-nuoc,Karofi,5990000,5,0,"{""stages"": 9, ""warranty_months"": 36}"
SKU-WF-RO10,Máy lọc nước RO Kangaroo 10 lõi,gia-dung/may-loc-nuoc,Kangaroo,6890000,12,0,"{""stages"": 0, ""warranty_months"": 36}"
SKU-WF-UF,Máy lọc nước UF Sunhouse,gia-dung/may-loc-nuoc,Sunhouse,3290000,20,0,"{""stages"": 5, ""warranty_months"": 36}"
SKU-FAN-DC1,Quạt đứng DC inverter Panasonic F-409,gia-dung/quat,Panasonic,2450000,30,0,"{""warranty_months"": 12}"
SKU-FAN-SEN,Quạt đứng Senko TS16,gia-dung/quat,Senko,590000,30,0,"{""warranty_months"": 12}"
SKU-FAN-TWR,Quạt tháp Xiaomi Tower Fan,gia-dung/quat,Xiaomi,1790000,0,0,"{""warranty_months"": 12}"
SKU-AF-4L,Nồi chiên không dầu Lock&Lock 4L,gia-dung/noi-chien,Lock&Lock,1890000,2,0,"{""warranty_months"": 12}"
SKU-AF-6L,Nồi chiên không dầu Philips 6.2L,gia-dung/noi-chien,Philips,3990000,25,0,"{""warranty_months"": 12}"
SKU-AF-XM,Nồi chiên không dầu Xiaomi 4.5L,gia-dung/noi-chien,Xiaomi,1590000,25,0,"{""warranty_months"": 12}"
SKU-SN-RUN1,Giày chạy bộ RunLite 1,thoi-trang/giay,RunLite,1290000,48,18,"{""material"": ""vải lưới + đế EVA"", ""return_days"": 7}"
SKU-SN-RUN2,Giày chạy bộ RunLite 2 Pro,thoi-trang/giay,RunLite,1690000,68,18,"{""material"": ""vải lưới + đế EVA"", ""return_days"": 7}"
SKU-SN-CAS,Giày sneaker Urban Classic,thoi-trang/giay,Urban,890000,109,18,"{""material"": ""vải lưới + đế EVA"", ""return_days"": 7}"
SKU-SN-TRK,Giày trekking HikePro,thoi-trang/giay,HikePro,1990000,63,18,"{""material"": ""vải lưới + đế EVA"", ""return_days"": 7}"
SKU-JK-WND,Áo khoác gió Windbreak,thoi-trang/ao-khoac,Windbreak,690000,92,12,"{""return_days"": 7}"
SKU-JK-DWN,Áo phao lông vũ Warmly,thoi-trang/ao-khoac,Warmly,1490000,56,12,"{""return_days"": 7}"
SKU-MB-PUMP1,Máy hút sữa điện đôi Spectra S1,me-be,Spectra,4290000,6,0,"{""warranty_months"": 12}"
SKU-MB-PUMP2,Máy hút sữa điện đôi Medela Swing Maxi,me-be,Medela,5990000,18,0,"{""warranty_months"": 12}"
SKU-MB-STR1,Xe đẩy gấp gọn Joie Pact,me-be,Joie,3490000,6,0,"{""max_weight_kg"": 22, ""warranty_months"": 12}"
SKU-MB-STR2,Xe đẩy 2 chiều Combi Sugocal,me-be,Combi,6790000,6,0,"{""max_weight_kg"": 15, ""warranty_months"": 12}"
SKU-MB-MON,Máy hâm sữa Fatz 4 chức năng,me-be,Fatz,490000,18,0,"{""warranty_months"": 12}"
SKU-MB-STER,Máy tiệt trùng sấy khô Moaz Bebe,me-be,Moaz,1890000,6,0,"{""warranty_months"": 12}"
SKU-MB-BOT,Bình sữa Pigeon PPSU 240ml,me-be,Pigeon,289000,6,0,"{""volume_ml"": 240}"
SKU-MB-CAR,Ghế ngồi ô tô cho bé Chicco,me-be,Chicco,4990000,18,0,"{""warranty_months"": 12}"
